1333454496.691	participantNumber	1	""
1333454496.693	participantGender	m	""
1333454496.693	participantAge	26	""
.223	browser	focus	""
.276	chat	focus	""
.471	mail	focus	""
.572	start conditie	false_true	""
.771	chat	scroll	"5"
7.505	mail	select	"mp3-player Killor L-16 $74.99"
8.852	mail	loaded	"mp3-player Killor L-16 $74.99"
15.075	browser	focus	""
17.723	browser	linkRequest1	"Mp3-players.html"
18.108	browser	link1	"Mp3-players.html"
20.067	browser	linkRequest2	"Killor.html"
20.125	browser	link2	"Killor.html"
20.258	chat	prompt	"What is your favorite <i>music style</i>?"
21.507	mail	focus	""
24.016	mail	loaded	"mp3-player Killor L-16 $74.99"
26.813	browser	focus	""
28.915	browser	linkRequest3	"Killor-L-16.html"
28.955	browser	link3	"Killor-L-16.html"
34.218	chat	focus	""
56.682	chat	type	"r"
56.945	chat	type	"ro"
57.225	chat	type	"roc"
57.409	chat	type	"rock"
58.472	chat	msg	"rock"
60.139	browser	focus	""
63.208	mail	focus	""
65.270	mail	reply	"$74.99"
65.277	compose	focus	""
65.854	mail	loaded	"mp3-player Killor L-16 $74.99"
67.607	compose	type	"7"
68.418	compose	type	"74"
68.970	compose	type	"74."
69.322	compose	type	"74.9"
69.474	compose	type	"74.99"
74.683	compose	send	"74.99"
74.684	mail	focus	""
76.149	mail	loaded	"mp3-player Killor L-16 $74.99"
79.697	mail	move	"Archive"
81.479	mail	select	"photocamera Okidan U-23 $71.99"
82.971	mail	loaded	"photocamera Okidan U-23 $71.99"
107.985	browser	focus	""
110.316	chat	focus	""
112.684	browser	focus	""
113.429	mail	focus	""
114.821	mail	select	"mp3-player Killor X-50 $93.99"
115.086	mail	loaded	"mp3-player Killor X-50 $93.99"
115.594	mail	select	"photocamera Okidan U-23 $71.99"
117.366	mail	loaded	"photocamera Okidan U-23 $71.99"
117.400	mail	loaded	"photocamera Okidan U-23 $71.99"
122.880	browser	focus	""
125.760	browser	home	""
127.312	browser	linkRequest1	"Photocameras.html"
127.330	browser	link1	"Photocameras.html"
128.540	browser	linkRequest2	"Okidan.html"
128.554	browser	link2	"Okidan.html"
130.360	browser	linkRequest3	"Okidan-U-23.html"
130.374	browser	link3	"Okidan-U-23.html"
130.535	chat	prompt	"What is your least favorite?"
145.675	mail	focus	""
148.060	mail	loaded	"photocamera Okidan U-23 $71.99"
148.756	mail	reply	"$71.99"
148.782	compose	focus	""
150.384	compose	type	"7"
151.167	compose	type	"71"
