1336478954.888	participantNumber	18	""
1336478954.890	participantGender	f	""
1336478954.890	participantAge	21	""
.181	browser	focus	""
.233	chat	focus	""
.382	mail	focus	""
.435	start conditie	true_false	""
.649	chat	scroll	"5"
6.350	mail	select	"laptop Zanium F-22 $74.99"
8.049	mail	loaded	"laptop Zanium F-22 $74.99"
15.727	browser	focus	""
17.052	browser	linkRequest1	"Laptops.html"
19.139	browser	link1	"Laptops.html"
19.237	chat	prompt	"Have you seen the movie <i>The Sixth Sense</i> ?"
20.685	browser	linkRequest2	"Zanium.html"
23.970	browser	link2	"Zanium.html"
28.988	chat	focus	""
32.873	chat	type	"y"
32.983	chat	type	"ye"
33.152	chat	type	"yes"
33.343	chat	msg	"yes"
35.504	browser	focus	""
36.496	mail	focus	""
38.904	mail	loaded	"laptop Zanium F-22 $74.99"
40.285	browser	focus	""
42.283	browser	linkRequest3	"Zanium-F-22.html"
44.964	browser	link3	"Zanium-F-22.html"
47.137	mail	focus	""
49.803	mail	loaded	"laptop Zanium F-22 $74.99"
50.876	mail	reply	"$74.99"
50.883	compose	focus	""
52.358	compose	type	"7"
52.944	compose	type	"74"
53.289	compose	type	"74."
53.961	compose	type	"74.9"
54.097	compose	type	"74.99"
55.936	compose	send	"74.99"
55.937	mail	focus	""
58.460	mail	loaded	"laptop Zanium F-22 $74.99"
61.336	mail	move	"Archive"
62.725	mail	select	"mp3-player Killor O-66 $58.99"
65.036	mail	loaded	"mp3-player Killor O-66 $58.99"
73.928	browser	focus	""
75.356	browser	home	""
76.370	browser	linkRequest1	"Mp3-players.html"
78.448	browser	link1	"Mp3-players.html"
79.586	browser	linkRequest2	"Killor.html"
82.026	browser	link2	"Killor.html"
83.762	browser	linkRequest3	"Killor-O-66.html"
86.424	browser	link3	"Killor-O-66.html"
89.904	mail	focus	""
91.379	mail	loaded	"mp3-player Killor O-66 $58.99"
91.831	mail	reply	"$58.99"
91.837	compose	focus	""
93.560	compose	type	"5"
93.766	chat	prompt	"Did you like it?"
94.007	compose	type	"58"
94.400	compose	type	"58."
94.775	compose	type	"58.9"
94.904	compose	type	"58.99"
96.169	compose	send	"58.99"
96.170	mail	focus	""
97.508	chat	focus	""
98.103	mail	loaded	"mp3-player Killor O-66 $58.99"
99.863	chat	type	"n"
100.014	chat	type	"no"
100.789	chat	msg	"no"
103.191	browser	focus	""
105.587	mail	focus	""
107.202	mail	loaded	"mp3-player Killor O-66 $58.99"
109.630	mail	move	"Archive"
111.244	mail	select	"laptop Mallsoft U-41 $55.99"
113.765	mail	loaded	"laptop Mallsoft U-41 $55.99"
119.415	browser	focus	""
120.839	browser	home	""
121.985	browser	linkRequest1	"Laptops.html"
125.893	browser	link1	"Laptops.html"
127.177	browser	linkRequest2	"Mallsoft.html"
129.765	browser	link2	"Mallsoft.html"
132.185	browser	linkRequest3	"Mallsoft-U-41.html"
134.953	browser	link3	"Mallsoft-U-41.html"
135.135	chat	prompt	"Have you seen the movie <i>Michael Clayton</i> ?"
138.504	mail	focus	""
139.884	mail	loaded	"laptop Mallsoft U-41 $55.99"
140.197	mail	reply	"$55.99"
140.208	compose	focus	""
141.543	compose	type	"5"
141.630	compose	type	"55"
141.806	compose	type	"55."
142.158	compose	type	"55.9"
142.278	compose	type	"55.99"
143.686	compose	send	"55.99"
143.687	mail	focus	""
145.049	chat	focus	""
145.548	mail	loaded	"laptop Mallsoft U-41 $55.99"
148.885	chat	type	"n"
148.989	chat	type	"no"
149.652	chat	msg	"no"
151.193	mail	focus	""
152.887	mail	move	"Archive"
154.027	mail	select	"mp3-player Huma G-73 $75.99"
155.369	mail	loaded	"mp3-player Huma G-73 $75.99"
161.340	browser	focus	""
162.562	browser	home	""
163.720	browser	linkRequest1	"Mp3-players.html"
167.528	browser	link1	"Mp3-players.html"
168.480	browser	linkRequest2	"Huma.html"
171.920	browser	link2	"Huma.html"
174.344	browser	linkRequest3	"Huma-G-73.html"
176.824	browser	link3	"Huma-G-73.html"
179.801	mail	focus	""
181.277	mail	reply	"$75.99"
181.282	compose	focus	""
181.355	mail	loaded	"mp3-player Huma G-73 $75.99"
182.942	compose	type	"7"
183.725	compose	type	"75"
184.445	compose	type	"75."
184.797	compose	type	"75.9"
184.916	compose	type	"75.99"
187.045	browser	focus	""
188.679	compose	focus	""
189.735	compose	send	"75.99"
189.736	browser	focus	""
189.919	chat	prompt	"Have you seen the movie <i>The Curious Case of Benjamin Button</i> ?"
191.729	chat	focus	""
195.140	chat	type	"j"
195.260	chat	type	"ja"
196.595	chat	msg	"ja"
198.010	browser	focus	""
199.532	mail	focus	""
200.848	mail	loaded	"mp3-player Huma G-73 $75.99"
202.740	mail	move	"Archive"
205.681	mail	select	"laptop Zanium B-25 $62.99"
207.410	mail	loaded	"laptop Zanium B-25 $62.99"
214.524	browser	focus	""
216.240	browser	home	""
217.167	browser	linkRequest1	"Laptops.html"
220.024	browser	link1	"Laptops.html"
221.998	browser	linkRequest2	"Zanium.html"
224.378	browser	link2	"Zanium.html"
224.579	chat	prompt	"Have you seen the movie <i>There Will Be Blood</i> ?"
226.566	browser	linkRequest3	"Zanium-B-25.html"
229.853	chat	focus	""
229.879	browser	link3	"Zanium-B-25.html"
230.962	chat	type	"n"
231.018	chat	type	"no"
231.282	chat	msg	"no"
232.846	browser	focus	""
235.047	mail	focus	""
236.624	mail	loaded	"laptop Zanium B-25 $62.99"
237.214	mail	reply	"$62.99"
237.227	compose	focus	""
238.916	compose	type	"6"
239.436	compose	type	"62"
239.636	compose	type	"62."
239.964	compose	type	"62.9"
240.082	compose	type	"62.99"
241.548	compose	send	"62.99"
241.549	mail	focus	""
243.626	mail	loaded	"laptop Zanium B-25 $62.99"
246.906	mail	move	"Archive"
247.848	mail	select	"mp3-player Killor O-66 $58.99"
249.847	mail	loaded	"mp3-player Killor O-66 $58.99"
256.986	browser	focus	""
258.423	browser	home	""
259.453	browser	linkRequest1	"Mp3-players.html"
262.451	browser	link1	"Mp3-players.html"
264.029	browser	linkRequest2	"Killor.html"
267.039	browser	link2	"Killor.html"
268.557	browser	linkRequest3	"Killor-O-66.html"
269.695	browser	link3	"Killor-O-66.html"
273.212	mail	focus	""
274.892	mail	reply	"$58.99"
274.901	mail	loaded	"mp3-player Killor O-66 $58.99"
274.904	compose	focus	""
277.219	compose	type	"5"
277.699	compose	type	"58"
278.083	compose	type	"58."
278.419	compose	type	"58.9"
278.529	compose	type	"58.99"
279.115	compose	type	"58.99"
281.033	compose	send	"58.99"
281.034	mail	focus	""
282.513	mail	loaded	"mp3-player Killor O-66 $58.99"
285.526	mail	move	"Archive"
288.247	mail	select	"photocamera Okidan N-98 $63.99"
288.316	chat	prompt	"Have you seen the movie <i>Moulin Rouge</i> ?"
290.286	chat	focus	""
290.540	mail	loaded	"photocamera Okidan N-98 $63.99"
292.522	chat	type	"j"
292.618	chat	type	"ja"
293.593	chat	type	"j"
294.314	chat	type	"n"
294.417	chat	type	"no"
294.673	chat	msg	"no"
295.551	mail	focus	""
296.870	mail	loaded	"photocamera Okidan N-98 $63.99"
306.016	browser	focus	""
307.166	browser	home	""
308.340	browser	linkRequest1	"Photocameras.html"
311.181	browser	link1	"Photocameras.html"
313.148	browser	linkRequest2	"Okidan.html"
315.216	browser	link2	"Okidan.html"
317.244	browser	linkRequest3	"Okidan-N-98.html"
320.062	browser	link3	"Okidan-N-98.html"
321.796	mail	focus	""
323.563	mail	loaded	"photocamera Okidan N-98 $63.99"
324.202	mail	reply	"$63.99"
324.208	compose	focus	""
325.570	compose	type	"6"
326.090	compose	type	"63"
326.402	compose	type	"63."
326.794	compose	type	"63.9"
326.914	compose	type	"63.99"
328.746	compose	send	"63.99"
328.747	mail	focus	""
330.369	mail	loaded	"photocamera Okidan N-98 $63.99"
332.712	mail	move	"Archive"
332.990	chat	prompt	"Have you seen the movie <i>Million Dollar Baby</i> ?"
335.114	chat	focus	""
338.017	chat	type	"z"
338.880	chat	type	"y"
339.001	chat	type	"ye"
339.168	chat	type	"yes"
339.344	chat	msg	"yes"
340.309	mail	focus	""
341.534	mail	select	"photocamera Okidan N-98 $63.99"
341.993	mail	loaded	"photocamera Okidan N-98 $63.99"
343.200	mail	loaded	"photocamera Okidan N-98 $63.99"
351.410	browser	focus	""
351.548	chat	prompt	"Did you like it?"
353.148	chat	focus	""
355.352	chat	type	"y"
355.463	chat	type	"ye"
355.632	chat	type	"yes"
355.793	chat	msg	"yes"
356.791	browser	focus	""
359.830	mail	focus	""
361.212	mail	loaded	"photocamera Okidan N-98 $63.99"
364.393	browser	focus	""
366.939	mail	focus	""
368.306	mail	reply	"$63.99"
368.310	compose	focus	""
368.666	mail	loaded	"photocamera Okidan N-98 $63.99"
369.729	compose	type	"6"
370.137	compose	type	"63"
370.417	compose	type	"63."
370.697	compose	type	"63.9"
370.815	compose	type	"63.99"
372.354	compose	send	"63.99"
372.355	mail	focus	""
374.469	mail	loaded	"photocamera Okidan N-98 $63.99"
380.919	mail	move	"Archive"
383.260	mail	select	"photocamera Woksan W-40 $63.99"
384.795	mail	loaded	"photocamera Woksan W-40 $63.99"
390.744	browser	focus	""
391.788	browser	home	""
396.106	browser	linkRequest1	"Photocameras.html"
398.107	browser	link1	"Photocameras.html"
405.994	browser	linkRequest2	"Woksan.html"
410.031	browser	link2	"Woksan.html"
418.258	mail	focus	""
420.494	mail	loaded	"photocamera Woksan W-40 $63.99"
422.919	browser	focus	""
424.449	browser	linkRequest3	"Woksan-W-40.html"
427.504	browser	link3	"Woksan-W-40.html"
429.055	mail	focus	""
430.415	mail	loaded	"photocamera Woksan W-40 $63.99"
431.926	mail	reply	"$63.99"
431.931	compose	focus	""
433.334	compose	type	"6"
433.751	compose	type	"63"
434.023	compose	type	"63."
434.526	compose	type	"63.9"
434.655	compose	type	"63.99"
435.790	compose	send	"63.99"
435.791	mail	focus	""
437.935	mail	loaded	"photocamera Woksan W-40 $63.99"
441.037	mail	move	"Archive"
442.091	mail	select	"laptop Leviti E-71 $75.99"
442.242	chat	prompt	"Have you seen the movie <i>Letters From Iwo Jima</i> ?"
443.698	chat	focus	""
443.913	mail	loaded	"laptop Leviti E-71 $75.99"
447.318	chat	type	"n"
447.357	chat	type	"no"
448.014	chat	msg	"no"
448.898	mail	focus	""
451.424	mail	loaded	"laptop Leviti E-71 $75.99"
455.373	browser	focus	""
456.562	browser	home	""
457.568	browser	linkRequest1	"Laptops.html"
461.049	browser	link1	"Laptops.html"
462.040	browser	linkRequest2	"Leviti.html"
465.557	browser	link2	"Leviti.html"
467.504	browser	linkRequest3	"Leviti-E-71.html"
468.759	browser	link3	"Leviti-E-71.html"
470.825	mail	focus	""
472.077	mail	reply	"$75.99"
472.082	compose	focus	""
472.563	mail	loaded	"laptop Leviti E-71 $75.99"
473.614	compose	type	"7"
473.799	compose	type	"75"
474.126	compose	type	"75."
474.406	compose	type	"75.9"
474.526	compose	type	"75.99"
475.830	compose	send	"75.99"
475.831	mail	focus	""
476.022	chat	prompt	"Do you want to see it?"
478.266	chat	focus	""
478.302	mail	loaded	"laptop Leviti E-71 $75.99"
481.285	chat	type	"n"
481.437	chat	type	"no"
481.927	chat	msg	"no"
483.110	mail	focus	""
484.705	mail	loaded	"laptop Leviti E-71 $75.99"
484.908	mail	move	"Archive"
485.882	mail	select	"photocamera Woksan B-40 $91.99"
