1333998469.839	participantNumber	3	""
1333998469.841	participantGender	m	""
1333998469.841	participantAge	29	""
.215	browser	focus	""
.259	chat	focus	""
.409	mail	focus	""
.494	start conditie	true_false	""
.687	chat	scroll	"5"
7.714	chat	focus	""
11.303	mail	focus	""
11.320	mail	select	"photocamera Beta B-58 $77.99"
13.421	mail	loaded	"photocamera Beta B-58 $77.99"
13.484	mail	loaded	"photocamera Beta B-58 $77.99"
19.829	browser	focus	""
22.743	browser	linkRequest1	"Photocameras.html"
25.099	browser	link1	"Photocameras.html"
25.300	chat	prompt	"Have you seen the movie <i>The Reader</i> ?"
28.660	mail	focus	""
31.344	mail	loaded	"photocamera Beta B-58 $77.99"
34.928	browser	focus	""
37.192	browser	linkRequest2	"Beta.html"
41.138	browser	link2	"Beta.html"
43.384	browser	linkRequest3	"Beta-B-58.html"
45.045	browser	link3	"Beta-B-58.html"
51.426	mail	focus	""
51.594	mail	reply	"$77.99"
51.604	compose	focus	""
53.339	compose	type	"7"
53.356	mail	loaded	"photocamera Beta B-58 $77.99"
53.463	compose	type	"77"
53.791	compose	type	"77."
54.296	compose	type	"77.9"
54.463	compose	type	"77.99"
56.210	compose	send	"77.99"
56.212	mail	focus	""
58.848	mail	loaded	"photocamera Beta B-58 $77.99"
58.932	chat	focus	""
64.720	chat	type	"n"
64.863	chat	type	"no"
66.316	chat	msg	"no"
68.473	mail	focus	""
70.065	mail	loaded	"photocamera Beta B-58 $77.99"
71.166	mail	move	"Archive"
72.778	mail	select	"laptop Mallsoft F-89 $86.99"
74.909	mail	loaded	"laptop Mallsoft F-89 $86.99"
82.467	browser	focus	""
84.820	browser	home	""
85.880	browser	linkRequest1	"Laptops.html"
87.946	browser	link1	"Laptops.html"
89.248	browser	linkRequest2	"Mallsoft.html"
92.727	browser	link2	"Mallsoft.html"
94.615	browser	linkRequest3	"Mallsoft-F-89.html"
97.592	browser	link3	"Mallsoft-F-89.html"
97.738	chat	prompt	"Have you seen the movie <i>Gangs of New York</i> ?"
102.480	mail	focus	""
102.596	mail	reply	"$86.99"
102.630	compose	focus	""
104.209	mail	loaded	"laptop Mallsoft F-89 $86.99"
105.017	compose	type	"8"
105.081	compose	type	"86"
105.671	compose	type	"86."
106.145	compose	type	"86.9"
106.287	compose	type	"86.99"
108.085	compose	send	"86.99"
108.086	mail	focus	""
109.565	mail	loaded	"laptop Mallsoft F-89 $86.99"
112.278	mail	move	"Archive"
114.271	chat	focus	""
122.862	chat	type	"y"
123.366	chat	type	"ya"
125.383	chat	type	"y"
126.544	chat	type	"ye"
127.120	chat	type	"yes"
128.261	chat	msg	"yes"
131.125	mail	focus	""
131.133	mail	select	"laptop Mallsoft I-86 $92.99"
133.043	mail	loaded	"laptop Mallsoft I-86 $92.99"
133.317	mail	loaded	"laptop Mallsoft I-86 $92.99"
139.698	browser	focus	""
142.120	browser	home	""
143.712	browser	linkRequest1	"Laptops.html"
146.467	browser	link1	"Laptops.html"
148.200	browser	linkRequest2	"Mallsoft.html"
150.953	browser	link2	"Mallsoft.html"
154.039	browser	linkRequest3	"Mallsoft-I-86.html"
155.807	browser	link3	"Mallsoft-I-86.html"
160.692	mail	focus	""
160.769	mail	reply	"$92.99"
160.793	compose	focus	""
162.267	mail	loaded	"laptop Mallsoft I-86 $92.99"
165.343	compose	type	"9"
165.431	compose	type	"92"
167.128	compose	type	"92."
168.456	compose	type	"92.9"
168.640	compose	type	"92.99"
170.318	compose	send	"92.99"
170.319	mail	focus	""
170.517	chat	prompt	"Did you like it?"
172.317	chat	focus	""
172.890	mail	loaded	"laptop Mallsoft I-86 $92.99"
176.768	chat	type	"y"
176.919	chat	type	"ye"
177.718	chat	type	"yes"
179.236	chat	msg	"yes"
181.095	mail	focus	""
182.445	mail	loaded	"laptop Mallsoft I-86 $92.99"
183.210	mail	move	"Archive"
184.697	mail	select	"mp3-player Killor O-66 $58.99"
186.948	mail	loaded	"mp3-player Killor O-66 $58.99"
195.389	browser	focus	""
197.001	browser	home	""
198.688	browser	linkRequest1	"Mp3-players.html"
201.080	browser	link1	"Mp3-players.html"
202.584	browser	linkRequest2	"Killor.html"
205.752	browser	link2	"Killor.html"
205.837	chat	prompt	"Have you seen the movie <i>Atonement</i> ?"
207.905	browser	linkRequest3	"Killor-O-66.html"
210.434	browser	link3	"Killor-O-66.html"
213.806	mail	focus	""
213.882	mail	reply	"$58.99"
213.921	compose	focus	""
215.674	mail	loaded	"mp3-player Killor O-66 $58.99"
216.163	compose	type	"5"
216.241	compose	type	"58"
216.856	compose	type	"58."
217.282	compose	type	"58.9"
217.434	compose	type	"58.99"
219.261	compose	send	"58.99"
219.262	mail	focus	""
220.526	chat	focus	""
220.701	mail	loaded	"mp3-player Killor O-66 $58.99"
227.833	chat	type	"n"
228.033	chat	type	"no"
228.950	chat	msg	"no"
231.733	mail	focus	""
232.774	mail	move	"Archive"
233.955	mail	select	"photocamera Woksan V-68 $65.99"
235.544	mail	loaded	"photocamera Woksan V-68 $65.99"
241.806	browser	focus	""
243.947	browser	home	""
245.234	browser	linkRequest1	"Photocameras.html"
247.290	browser	link1	"Photocameras.html"
248.569	browser	linkRequest2	"Woksan.html"
251.947	browser	link2	"Woksan.html"
254.442	browser	linkRequest3	"Woksan-V-68.html"
257.445	browser	link3	"Woksan-V-68.html"
268.463	mail	focus	""
270.225	mail	loaded	"photocamera Woksan V-68 $65.99"
273.519	mail	reply	"$65.99"
273.525	compose	focus	""
275.396	compose	type	"6"
275.596	chat	prompt	"Do you want to see it?"
275.834	compose	type	"65"
276.812	compose	type	"65."
277.492	compose	type	"65.9"
277.668	compose	type	"65.99"
279.485	compose	send	"65.99"
279.498	mail	focus	""
281.278	mail	loaded	"photocamera Woksan V-68 $65.99"
281.892	chat	focus	""
286.211	chat	type	"y"
286.323	chat	type	"ye"
286.651	chat	type	"yes"
287.643	chat	msg	"yes"
289.392	mail	focus	""
291.717	mail	loaded	"photocamera Woksan V-68 $65.99"
291.934	mail	move	"Archive"
294.182	mail	select	"photocamera Woksan Z-85 $84.99"
295.629	mail	loaded	"photocamera Woksan Z-85 $84.99"
304.376	browser	focus	""
309.941	browser	home	""
312.100	browser	linkRequest1	"Photocameras.html"
315.535	browser	link1	"Photocameras.html"
318.100	browser	linkRequest2	"Woksan.html"
321.696	browser	link2	"Woksan.html"
326.717	browser	linkRequest3	"Woksan-Z-85.html"
329.111	browser	link3	"Woksan-Z-85.html"
332.727	mail	focus	""
334.853	mail	loaded	"photocamera Woksan Z-85 $84.99"
339.781	mail	reply	"$84.99"
339.790	compose	focus	""
342.277	compose	type	"8"
342.388	compose	type	"84"
342.972	compose	type	"84."
343.677	compose	type	"84.9"
