1418981415.464	participantNumber	1	""
1418981415.467	participantGender	Male	""
1418981415.468	participantAge		""
.206	browser	focus	""
.412	mail	focus	""
.524	start conditie	false_true	""
1.504	mail	select	"54"
2.458	mail	loaded	"51"
3.888	mail	loaded	"51"
9.362	mail	select	"1110"
11.615	mail	loaded	"111"
15.186	browser	focus	""
15.281	browser	linkRequest1	"question1_7.html"
15.285	browser	link1	"question1_7.html"
21.048	mail	focus	""
23.060	mail	loaded	"111"
275.957	mail	focus	""
278.554	mail	loaded	"111"
