1333455786.436	participantNumber	1	""
1333455786.437	participantGender	m	""
1333455786.437	participantAge	26	""
.172	browser	focus	""
.243	chat	focus	""
.370	mail	focus	""
.458	start conditie	false_true	""
.669	chat	scroll	"5"
10.393	mail	select	"photocamera Woksan C-78 $70.99"
10.602	chat	prompt	"What is your favorite <i>breakfast</i>?"
11.918	chat	focus	""
12.798	mail	loaded	"photocamera Woksan C-78 $70.99"
16.447	chat	type	"e"
16.551	chat	type	"eg"
16.678	chat	type	"egg"
16.975	chat	type	"egga"
17.219	chat	msg	"egga"
18.915	mail	focus	""
20.843	mail	loaded	"photocamera Woksan C-78 $70.99"
24.142	browser	focus	""
25.408	browser	linkRequest1	"Mp3-players.html"
25.428	browser	link1	"Mp3-players.html"
26.810	browser	home	""
28.503	browser	linkRequest1	"Photocameras.html"
28.517	browser	link1	"Photocameras.html"
29.448	browser	linkRequest2	"Woksan.html"
29.454	browser	link2	"Woksan.html"
31.456	browser	linkRequest3	"Woksan-C-78.html"
31.470	browser	link3	"Woksan-C-78.html"
32.630	mail	focus	""
33.945	mail	reply	"$70.99"
33.968	compose	focus	""
34.769	mail	loaded	"photocamera Woksan C-78 $70.99"
35.059	compose	type	""
35.208	compose	type	""
35.226	chat	prompt	"What is your favorite <i>board game</i>?"
35.559	compose	type	""
35.895	compose	type	""
36.047	compose	type	""
37.814	compose	send	""
37.816	mail	focus	""
39.799	mail	loaded	"photocamera Woksan C-78 $70.99"
41.062	mail	move	"Archive"
41.970	mail	select	"mp3-player Huma O-80 $75.99"
43.069	chat	focus	""
44.136	mail	loaded	"mp3-player Huma O-80 $75.99"
45.774	chat	type	"S"
46.013	chat	type	"SE"
46.110	chat	type	"SET"
46.693	chat	msg	"SET"
48.530	mail	focus	""
50.491	mail	loaded	"mp3-player Huma O-80 $75.99"
53.951	browser	focus	""
55.289	browser	home	""
56.631	browser	linkRequest1	"Mp3-players.html"
56.646	browser	link1	"Mp3-players.html"
57.807	browser	linkRequest2	"Huma.html"
57.824	browser	link2	"Huma.html"
60.158	browser	linkRequest3	"Huma-O-80.html"
60.169	browser	link3	"Huma-O-80.html"
61.343	mail	focus	""
62.678	mail	reply	"$75.99"
62.703	compose	focus	""
62.925	mail	loaded	"mp3-player Huma O-80 $75.99"
63.943	compose	type	""
64.119	compose	type	""
64.351	compose	type	""
64.711	compose	type	""
64.870	compose	type	""
66.112	compose	send	""
66.114	mail	focus	""
66.222	chat	prompt	"What is your favorite <i>sport</i>?"
67.190	chat	focus	""
67.573	mail	loaded	"mp3-player Huma O-80 $75.99"
73.078	chat	type	"f"
73.181	chat	type	"fo"
73.333	chat	type	"foo"
73.428	chat	type	"foot"
73.654	chat	type	"footb"
73.854	chat	type	"footba"
74.062	chat	type	"footbal"
74.213	chat	type	"football"
75.861	chat	msg	"football"
79.260	mail	focus	""
80.699	mail	loaded	"mp3-player Huma O-80 $75.99"
80.743	mail	move	"Archive"
81.633	mail	select	"mp3-player Killor O-66 $58.99"
82.810	browser	focus	""
83.887	mail	loaded	"mp3-player Killor O-66 $58.99"
84.289	mail	focus	""
86.941	mail	loaded	"mp3-player Killor O-66 $58.99"
88.876	browser	focus	""
89.848	browser	home	""
90.654	browser	linkRequest1	"Mp3-players.html"
90.669	browser	link1	"Mp3-players.html"
91.718	browser	linkRequest2	"Killor.html"
91.730	browser	link2	"Killor.html"
95.654	browser	linkRequest3	"Killor-O-66.html"
95.711	browser	link3	"Killor-O-66.html"
95.809	chat	prompt	"What is your favorite <i>activity</i>?"
