1333985460.817	participantNumber	2	""
1333985460.818	participantGender	f	""
1333985460.818	participantAge	24	""
.162	browser	focus	""
.249	chat	focus	""
.368	mail	focus	""
.457	start conditie	false_false	""
.653	chat	scroll	"5"
3.279	mail	select	"laptop Mallsoft R-91 $88.99"
3.446	chat	prompt	"Have you seen the movie <i>Traffic</i> ?"
5.290	mail	loaded	"laptop Mallsoft R-91 $88.99"
8.353	chat	focus	""
11.453	chat	type	"n"
11.806	chat	type	"no"
12.621	chat	msg	"no"
13.837	mail	focus	""
16.150	mail	loaded	"laptop Mallsoft R-91 $88.99"
20.498	browser	focus	""
22.230	browser	linkRequest1	"Laptops.html"
22.276	browser	link1	"Laptops.html"
23.326	browser	linkRequest2	"Mallsoft.html"
23.345	browser	link2	"Mallsoft.html"
25.294	browser	linkRequest3	"Mallsoft-R-91.html"
27.307	browser	link3	"Mallsoft-R-91.html"
29.946	mail	focus	""
31.278	mail	loaded	"laptop Mallsoft R-91 $88.99"
32.533	mail	reply	"$88.99"
32.540	compose	focus	""
34.243	compose	type	"8"
34.393	chat	prompt	"Have you seen the movie <i>The Queen</i> ?"
34.395	compose	type	"88"
34.852	compose	type	"88."
35.237	compose	type	"88.9"
35.454	compose	type	"88.99"
36.696	compose	send	"88.99"
36.698	mail	focus	""
39.197	mail	loaded	"laptop Mallsoft R-91 $88.99"
40.796	mail	move	"Archive"
42.845	chat	focus	""
45.125	chat	type	"n"
46.101	chat	type	"no"
46.548	chat	msg	"no"
48.487	mail	focus	""
50.016	mail	select	"photocamera Okidan N-98 $63.99"
50.101	mail	loaded	"photocamera Okidan N-98 $63.99"
51.501	mail	loaded	"photocamera Okidan N-98 $63.99"
55.045	browser	focus	""
57.263	browser	home	""
58.982	browser	linkRequest1	"Photocameras.html"
58.999	browser	link1	"Photocameras.html"
59.973	browser	linkRequest2	"Okidan.html"
59.988	browser	link2	"Okidan.html"
63.948	browser	linkRequest3	"Okidan-N-98.html"
65.972	browser	link3	"Okidan-N-98.html"
68.617	mail	focus	""
70.680	mail	reply	"$63.99"
70.705	compose	focus	""
70.814	mail	loaded	"photocamera Okidan N-98 $63.99"
73.589	compose	type	"6"
74.244	compose	type	"63"
74.965	compose	type	"63."
75.997	compose	type	"63.9"
76.165	compose	type	"63.99"
77.176	compose	send	"63.99"
77.177	mail	focus	""
79.457	mail	move	"Archive"
79.711	chat	prompt	"Do you want to see it?"
80.943	mail	select	"laptop Leviti C-78 $63.99"
82.776	mail	loaded	"laptop Leviti C-78 $63.99"
83.661	chat	focus	""
86.612	chat	type	"n"
86.939	chat	type	"no"
87.866	chat	msg	"no"
90.426	mail	focus	""
92.130	mail	loaded	"laptop Leviti C-78 $63.99"
97.507	browser	focus	""
98.982	browser	home	""
100.996	browser	linkRequest1	"Laptops.html"
101.006	browser	link1	"Laptops.html"
102.627	browser	linkRequest2	"Leviti.html"
