1336651756.681	participantNumber	1	""
1336651756.682	participantGender	m	""
1336651756.683	participantAge	27	""
.187	browser	focus	""
.237	chat	focus	""
.354	mail	focus	""
.415	start conditie	false_true	""
.622	chat	scroll	"5"
2.277	browser	focus	""
7.350	mail	focus	""
8.676	mail	select	"laptop Rinox O-10 $85.99"
9.579	mail	loaded	"laptop Rinox O-10 $85.99"
10.357	mail	loaded	"laptop Rinox O-10 $85.99"
13.692	browser	focus	""
15.425	browser	linkRequest1	"Laptops.html"
15.444	browser	link1	"Laptops.html"
16.614	browser	linkRequest2	"Rinox.html"
16.629	browser	link2	"Rinox.html"
18.702	browser	linkRequest3	"Rinox-O-10.html"
20.715	browser	link3	"Rinox-O-10.html"
22.414	mail	focus	""
23.781	mail	reply	"$85.99"
23.787	compose	focus	""
24.079	mail	loaded	"laptop Rinox O-10 $85.99"
25.148	compose	type	"8"
25.311	chat	prompt	"What is your favorite <i>quote</i>?"
25.535	compose	type	"85"
26.087	compose	type	"85."
26.743	compose	type	"85.9"
26.927	compose	type	"85.99"
28.917	compose	send	"85.99"
28.918	mail	focus	""
30.440	mail	move	"Archive"
32.222	chat	focus	""
38.294	chat	type	"q"
38.550	chat	type	"qu"
40.060	chat	type	"quo"
40.158	chat	type	"quot"
40.334	chat	type	"quote"
42.605	chat	type	"quote?"
43.557	chat	msg	"quote?"
45.466	mail	focus	""
46.791	mail	select	"photocamera Beta K-23 $71.99"
47.327	mail	loaded	"photocamera Beta K-23 $71.99"
48.788	mail	loaded	"photocamera Beta K-23 $71.99"
50.929	browser	focus	""
52.167	browser	home	""
53.465	browser	linkRequest1	"Photocameras.html"
53.480	browser	link1	"Photocameras.html"
54.595	browser	linkRequest2	"Beta.html"
54.610	browser	link2	"Beta.html"
56.561	mail	focus	""
58.243	mail	loaded	"photocamera Beta K-23 $71.99"
61.194	browser	focus	""
62.691	browser	linkRequest3	"Beta-K-23.html"
64.712	browser	link3	"Beta-K-23.html"
66.250	mail	focus	""
67.681	mail	reply	"$71.99"
67.706	compose	focus	""
67.903	mail	loaded	"photocamera Beta K-23 $71.99"
68.878	compose	type	"7"
69.326	compose	type	"71"
69.870	compose	type	"71."
70.286	compose	type	"71.9"
70.414	compose	type	"71.99"
72.579	compose	send	"71.99"
72.580	mail	focus	""
72.755	chat	prompt	"What is your favorite <i>school subject</i>?"
74.603	mail	move	"Archive"
76.183	chat	focus	""
82.013	chat	type	"p"
82.597	chat	type	"ph"
83.100	chat	type	"phy"
83.315	chat	type	"phys"
83.483	chat	type	"physi"
83.685	chat	type	"physic"
83.925	chat	type	"physics"
85.699	chat	msg	"physics"
88.309	mail	focus	""
89.561	mail	select	"laptop Zanium J-34 $57.99"
89.740	mail	loaded	"laptop Zanium J-34 $57.99"
91.911	mail	loaded	"laptop Zanium J-34 $57.99"
97.259	browser	focus	""
98.384	browser	home	""
99.468	browser	linkRequest1	"Laptops.html"
99.484	browser	link1	"Laptops.html"
102.626	browser	linkRequest2	"Zanium.html"
102.633	browser	link2	"Zanium.html"
103.922	browser	linkRequest3	"Zanium-J-34.html"
105.938	browser	link3	"Zanium-J-34.html"
110.623	mail	focus	""
112.268	mail	reply	"$57.99"
112.280	compose	focus	""
113.130	mail	loaded	"laptop Zanium J-34 $57.99"
113.861	compose	type	"5"
114.236	compose	type	"57"
114.747	compose	type	"57."
115.252	compose	type	"57.9"
115.404	compose	type	"57.99"
116.871	compose	send	"57.99"
116.872	mail	focus	""
118.321	mail	loaded	"laptop Zanium J-34 $57.99"
119.592	mail	move	"Archive"
121.952	mail	select	"laptop Rinox G-39 $72.99"
122.092	chat	prompt	"What is your least favorite?"
123.841	mail	loaded	"laptop Rinox G-39 $72.99"
123.899	chat	focus	""
132.899	chat	type	"m"
133.011	chat	type	"ma"
133.267	chat	type	"mat"
133.387	chat	type	"math"
134.378	chat	msg	"math"
137.554	mail	focus	""
139.744	mail	loaded	"laptop Rinox G-39 $72.99"
144.701	browser	focus	""
145.843	browser	home	""
147.501	browser	linkRequest1	"Laptops.html"
147.518	browser	link1	"Laptops.html"
147.634	chat	prompt	"What is your favorite <i>pet</i>?"
148.515	browser	linkRequest2	"Rinox.html"
148.529	browser	link2	"Rinox.html"
152.279	browser	linkRequest3	"Rinox-G-39.html"
155.987	chat	focus	""
156.015	browser	link3	"Rinox-G-39.html"
158.067	chat	type	"c"
158.243	chat	type	"ca"
158.587	chat	type	"cat"
159.737	chat	msg	"cat"
161.393	browser	focus	""
163.550	mail	focus	""
165.018	mail	reply	"$72.99"
165.023	compose	focus	""
165.711	compose	type	"7"
166.060	mail	loaded	"laptop Rinox G-39 $72.99"
166.218	compose	type	"72"
167.043	compose	type	"72."
167.451	compose	type	"72.9"
167.587	compose	type	"72.99"
169.136	compose	send	"72.99"
169.137	mail	focus	""
170.983	mail	move	"Archive"
172.630	mail	select	"mp3-player Huma Y-21 $99.99"
173.985	mail	loaded	"mp3-player Huma Y-21 $99.99"
180.433	browser	focus	""
181.792	browser	home	""
183.162	browser	linkRequest1	"Mp3-players.html"
183.174	browser	link1	"Mp3-players.html"
184.398	browser	linkRequest2	"Huma.html"
184.412	browser	link2	"Huma.html"
185.930	browser	linkRequest3	"Huma-Y-21.html"
189.524	chat	focus	""
189.543	browser	link3	"Huma-Y-21.html"
189.659	chat	prompt	"What is your least favorite?"
194.466	chat	type	"t"
194.730	chat	type	"tu"
194.888	chat	type	"tur"
195.042	chat	type	"turt"
195.314	chat	type	"turtl"
195.417	chat	type	"turtle"
196.321	chat	msg	"turtle"
197.597	browser	focus	""
199.751	mail	focus	""
201.319	mail	reply	"$99.99"
201.342	compose	focus	""
201.760	mail	loaded	"mp3-player Huma Y-21 $99.99"
202.706	compose	type	"9"
202.834	compose	type	"99"
203.218	compose	type	"99."
203.546	compose	type	"99.9"
203.674	compose	type	"99.99"
204.984	compose	send	"99.99"
204.985	mail	focus	""
206.358	mail	loaded	"mp3-player Huma Y-21 $99.99"
207.606	mail	move	"Archive"
208.903	mail	select	"mp3-player Inkel M-61 $52.99"
211.279	chat	focus	""
211.436	mail	loaded	"mp3-player Inkel M-61 $52.99"
213.011	mail	focus	""
215.533	mail	loaded	"mp3-player Inkel M-61 $52.99"
222.606	browser	focus	""
223.847	browser	home	""
224.965	browser	linkRequest1	"Mp3-players.html"
224.977	browser	link1	"Mp3-players.html"
226.397	browser	linkRequest2	"Inkel.html"
226.411	browser	link2	"Inkel.html"
226.485	chat	prompt	"What is your favorite <i>TV station</i>?"
228.655	browser	linkRequest3	"Inkel-M-61.html"
232.254	chat	focus	""
232.281	browser	link3	"Inkel-M-61.html"
237.481	chat	type	"n"
237.825	chat	type	"no"
237.999	chat	type	"no "
238.129	chat	type	"no t"
238.520	chat	type	"no tv"
239.409	chat	msg	"no tv"
240.930	browser	focus	""
242.562	mail	focus	""
243.757	mail	reply	"$52.99"
243.778	compose	focus	""
244.460	compose	type	"5"
244.673	compose	type	"52"
244.930	mail	loaded	"mp3-player Inkel M-61 $52.99"
245.201	compose	type	"52."
245.711	compose	type	"52.9"
245.857	compose	type	"52.99"
247.304	compose	send	"52.99"
247.305	mail	focus	""
248.742	mail	loaded	"mp3-player Inkel M-61 $52.99"
249.079	mail	move	"Archive"
250.802	mail	select	"laptop Zanium P-29 $55.99"
253.398	mail	loaded	"laptop Zanium P-29 $55.99"
258.172	browser	focus	""
259.288	browser	home	""
260.358	browser	linkRequest1	"Laptops.html"
260.376	browser	link1	"Laptops.html"
261.620	browser	linkRequest2	"Zanium.html"
261.632	browser	link2	"Zanium.html"
263.156	browser	linkRequest3	"Zanium-P-29.html"
266.800	chat	focus	""
266.819	browser	link3	"Zanium-P-29.html"
268.439	browser	focus	""
269.840	mail	focus	""
271.241	mail	reply	"$55.99"
271.273	compose	focus	""
271.911	mail	loaded	"laptop Zanium P-29 $55.99"
272.545	compose	type	"5"
272.673	compose	type	"55"
273.385	compose	type	"55."
273.873	compose	type	"55.9"
273.984	compose	type	"55.99"
275.692	compose	send	"55.99"
275.693	mail	focus	""
277.256	mail	move	"Archive"
277.497	chat	prompt	"What is your favorite <i>foreign city</i>?"
279.247	chat	focus	""
295.623	chat	type	"a"
295.790	chat	type	"an"
296.079	chat	type	"ant"
296.423	chat	type	"antw"
296.479	chat	type	"antwe"
296.703	chat	type	"antwer"
296.871	chat	type	"antwerp"
296.959	chat	type	"antwerpe"
297.095	chat	type	"antwerpen"
298.215	chat	msg	"antwerpen"
299.288	mail	focus	""
300.703	mail	select	"photocamera Woksan V-68 $65.99"
301.047	mail	loaded	"photocamera Woksan V-68 $65.99"
302.199	mail	loaded	"photocamera Woksan V-68 $65.99"
305.564	browser	focus	""
305.673	chat	prompt	"What is your favorite <i>comic</i>?"
307.969	browser	home	""
309.343	browser	linkRequest1	"Photocameras.html"
309.354	browser	link1	"Photocameras.html"
310.574	browser	linkRequest2	"Woksan.html"
310.587	browser	link2	"Woksan.html"
311.639	browser	linkRequest3	"Woksan-V-68.html"
314.855	chat	focus	""
314.879	browser	link3	"Woksan-V-68.html"
316.543	chat	type	"d"
316.671	chat	type	"do"
316.837	chat	type	"don"
316.983	chat	type	"dont"
317.104	chat	type	"dont "
317.287	chat	type	"dont l"
317.438	chat	type	"dont li"
317.605	chat	type	"dont lik"
317.735	chat	type	"dont like"
317.807	chat	type	"dont like "
318.031	chat	type	"dont like c"
318.197	chat	type	"dont like co"
318.237	chat	type	"dont like com"
318.413	chat	type	"dont like comi"
318.671	chat	type	"dont like comic"
319.471	chat	msg	"dont like comic"
320.970	browser	focus	""
322.404	mail	focus	""
323.583	mail	reply	"$65.99"
323.606	compose	focus	""
324.243	mail	loaded	"photocamera Woksan V-68 $65.99"
324.815	compose	type	"6"
324.871	compose	type	"65"
325.463	compose	type	"65."
326.559	compose	type	"65.9"
326.695	compose	type	"65.99"
327.801	compose	send	"65.99"
327.802	mail	focus	""
329.505	mail	move	"Archive"
331.132	mail	select	"photocamera Woksan Z-85 $84.99"
333.587	mail	loaded	"photocamera Woksan Z-85 $84.99"
336.201	browser	focus	""
337.368	browser	home	""
338.454	browser	linkRequest1	"Photocameras.html"
338.468	browser	link1	"Photocameras.html"
339.406	browser	linkRequest2	"Woksan.html"
339.418	browser	link2	"Woksan.html"
339.596	chat	prompt	"What is your favorite <i>Dutch celebrity</i>?"
340.560	browser	linkRequest3	"Woksan-Z-85.html"
344.114	chat	focus	""
344.145	browser	link3	"Woksan-Z-85.html"
350.822	chat	type	"d"
350.917	chat	type	"do"
351.118	chat	type	"don"
351.221	chat	type	"dont"
351.366	chat	type	"dont "
