1417611046.310	participantNumber	9	""
1417611046.312	participantGender	m	""
1417611046.312	participantAge	12	""
.343	browser	focus	""
.633	chat	focus	""
15.929	browser	focus	""
15.934	browser	focus	""
15.942	chat	focus	""
15.951	browser	focus	""
15.954	chat	focus	""
15.956	browser	focus	""
15.973	browser	focus	""
15.980	chat	focus	""
16.062	browser	focus	""
16.179	chat	focus	""
16.180	browser	focus	""
16.182	chat	focus	""
16.183	browser	focus	""
16.184	chat	focus	""
16.216	start conditie	true_true	""
16.259	mail	focus	""
16.268	chat	focus	""
16.323	chat	scroll	"5"
21.610	browser	focus	""
22.913	browser	focus	""
24.821	mail	focus	""
29.376	mail	focus	""
30.619	mail	focus	""
31.783	mail	focus	""
37.475	mail	focus	""
43.678	mail	focus	""
46.211	mail	focus	""
55.903	mail	focus	""
134.991	mail	focus	""
165.198	mail	select	"mp3-player Inkel G-13 $68.99"
165.199	mail	focus	""
166.851	mail	loaded	"mp3-player Inkel G-13 $68.99"
167.169	mail	loaded	"mp3-player Inkel G-13 $68.99"
169.287	mail	reply	"$68.99"
169.367	compose	focus	""
225.920	compose	focus	""
